epoch,step,train_loss_epoch,train_loss_step
0,49,,1.8436083793640137
0,99,,1.1646902561187744
0,149,,0.7054426670074463
0,199,,0.7025831937789917
0,214,1.4219316244125366,
1,249,,0.5202677249908447
1,299,,0.44815585017204285
1,349,,0.46807706356048584
1,399,,0.3420540392398834
1,429,0.46085017919540405,
2,449,,0.28610554337501526
2,499,,0.31191369891166687
2,549,,0.32161831855773926
2,599,,0.2293199598789215
2,644,0.30232512950897217,
3,649,,0.26039862632751465
3,699,,0.20479653775691986
3,749,,0.2523277699947357
3,799,,0.17498400807380676
3,849,,0.1740383505821228
3,859,0.23136276006698608,
4,899,,0.22112327814102173
4,949,,0.22076138854026794
4,999,,0.2314855456352234
4,1049,,0.19379469752311707
4,1074,0.20159706473350525,
5,1099,,0.2334732860326767
5,1149,,0.22465692460536957
5,1199,,0.15599282085895538
5,1249,,0.1532493680715561
5,1289,0.1735350787639618,
6,1299,,0.09719404578208923
6,1349,,0.2078360766172409
6,1399,,0.13431519269943237
6,1449,,0.16535192728042603
6,1499,,0.14913541078567505
6,1504,0.15629468858242035,
7,1549,,0.15661312639713287
7,1599,,0.11469927430152893
7,1649,,0.13226372003555298
7,1699,,0.17785316705703735
7,1719,0.14836512506008148,
8,1749,,0.14206095039844513
8,1799,,0.13692530989646912
8,1849,,0.10679347813129425
8,1899,,0.15524819493293762
8,1934,0.13147281110286713,
9,1949,,0.13164785504341125
9,1999,,0.19831568002700806
9,2049,,0.09336505830287933
9,2099,,0.12289994955062866
9,2149,,0.12117977440357208
9,2149,0.12601128220558167,
10,2199,,0.11583051830530167
10,2249,,0.0919485092163086
10,2299,,0.14855529367923737
10,2349,,0.11223109066486359
10,2364,0.11963705718517303,
11,2399,,0.10668230801820755
11,2449,,0.14012411236763
11,2499,,0.10350961238145828
11,2549,,0.11628048121929169
11,2579,0.11079122871160507,
12,2599,,0.09407050907611847
12,2649,,0.10377394407987595
12,2699,,0.11755718290805817
12,2749,,0.14253948628902435
12,2794,0.10686511546373367,
13,2799,,0.07992769777774811
13,2849,,0.11149537563323975
13,2899,,0.1135348454117775
13,2949,,0.07904674112796783
13,2999,,0.10533933341503143
13,3009,0.10048359632492065,
14,3049,,0.11659885197877884
14,3099,,0.07739061117172241
14,3149,,0.10126829892396927
14,3199,,0.09522688388824463
14,3224,0.09742645919322968,
15,3249,,0.11720462143421173
15,3299,,0.10397294908761978
15,3349,,0.07671418786048889
15,3399,,0.09578795731067657
15,3439,0.08936028927564621,
16,3449,,0.11813116073608398
16,3499,,0.060259830206632614
16,3549,,0.11211556196212769
16,3599,,0.09053914994001389
16,3649,,0.08537644147872925
16,3654,0.0897914245724678,
17,3699,,0.08606535196304321
17,3749,,0.07891178876161575
17,3799,,0.08021264523267746
17,3849,,0.08119235932826996
17,3869,0.08580120652914047,
18,3899,,0.08861953765153885
18,3949,,0.04797767847776413
18,3999,,0.07951807230710983
18,4049,,0.08980260044336319
18,4084,0.08564484119415283,
19,4099,,0.07413551956415176
19,4149,,0.06686315685510635
19,4199,,0.09784437716007233
19,4249,,0.07028576731681824
