epoch,step,train_loss_epoch,train_loss_step
0,49,,4.118572235107422
0,99,,3.491748809814453
0,149,,2.5979161262512207
0,199,,1.9776607751846313
0,214,3.5554914474487305,
1,249,,1.5554594993591309
1,299,,1.3943084478378296
1,349,,0.9265795946121216
1,399,,0.8151782751083374
1,429,1.1680551767349243,
2,449,,0.8454813361167908
2,499,,0.7445282936096191
2,549,,0.5556612014770508
2,599,,0.41472095251083374
2,644,0.6197336912155151,
3,649,,0.5601766705513
3,699,,0.30952557921409607
3,749,,0.38711243867874146
3,799,,0.3228430151939392
3,849,,0.3767739236354828
3,859,0.39452043175697327,
4,899,,0.28630807995796204
4,949,,0.2899101972579956
4,999,,0.3494395613670349
4,1049,,0.20044375956058502
4,1074,0.308602511882782,
5,1099,,0.2803269624710083
5,1149,,0.27825942635536194
5,1199,,0.2333144247531891
5,1249,,0.3743872046470642
5,1289,0.2626953125,
6,1299,,0.24021786451339722
6,1349,,0.17430871725082397
6,1399,,0.2656485140323639
6,1449,,0.14493229985237122
6,1499,,0.18214187026023865
6,1504,0.21813245117664337,
7,1549,,0.1497657597064972
7,1599,,0.15001431107521057
7,1649,,0.1877632737159729
7,1699,,0.1638859510421753
7,1719,0.1933078169822693,
8,1749,,0.22005629539489746
8,1799,,0.18241341412067413
8,1849,,0.17363300919532776
8,1899,,0.15651822090148926
8,1934,0.17194119095802307,
9,1949,,0.2128349393606186
9,1999,,0.18755629658699036
9,2049,,0.16343966126441956
9,2099,,0.14211606979370117
9,2149,,0.15538790822029114
9,2149,0.156820610165596,
10,2199,,0.1428605616092682
10,2249,,0.12971535325050354
10,2299,,0.16319911181926727
10,2349,,0.1317819356918335
10,2364,0.1376136690378189,
11,2399,,0.11956959962844849
11,2449,,0.19199904799461365
11,2499,,0.11726171523332596
11,2549,,0.18522179126739502
11,2579,0.13062629103660583,
12,2599,,0.13329438865184784
12,2649,,0.11381817609071732
12,2699,,0.10700834542512894
12,2749,,0.12013339251279831
12,2794,0.12347185611724854,
13,2799,,0.13459575176239014
13,2849,,0.15079694986343384
13,2899,,0.13745898008346558
13,2949,,0.12322939932346344
13,2999,,0.07317560166120529
13,3009,0.11847838014364243,
14,3049,,0.12322986871004105
14,3099,,0.11473841965198517
14,3149,,0.10731713473796844
14,3199,,0.11642125993967056
14,3224,0.10936003178358078,
15,3249,,0.10424689203500748
15,3299,,0.10335475951433182
15,3349,,0.10806243121623993
15,3399,,0.1343667209148407
15,3439,0.10635428875684738,
16,3449,,0.14363113045692444
16,3499,,0.0844038724899292
16,3549,,0.08370594680309296
16,3599,,0.0850335955619812
16,3649,,0.09988214075565338
16,3654,0.0970357358455658,
17,3699,,0.0899200513958931
17,3749,,0.06890536844730377
17,3799,,0.1012258380651474
17,3849,,0.10796214640140533
17,3869,0.09309926629066467,
18,3899,,0.06220594048500061
18,3949,,0.15094266831874847
18,3999,,0.0704093798995018
18,4049,,0.1232587993144989
18,4084,0.09358977526426315,
19,4099,,0.06999050080776215
19,4149,,0.07413759082555771
19,4199,,0.06629257649183273
19,4249,,0.08040390908718109
19,4299,,0.05299362540245056
19,4299,0.08581110090017319,
20,4349,,0.07884906977415085
20,4399,,0.0869145467877388
20,4449,,0.10863249003887177
20,4499,,0.07330416142940521
20,4514,0.08252621442079544,
21,4549,,0.06658299267292023
21,4599,,0.07068733870983124
21,4649,,0.08037757128477097
21,4699,,0.06135285645723343
21,4729,0.08112330734729767,
22,4749,,0.0677286833524704
22,4799,,0.11629944294691086
22,4849,,0.08496060222387314
22,4899,,0.07038640975952148
22,4944,0.07955092191696167,
23,4949,,0.07845741510391235
23,4999,,0.10353598743677139
23,5049,,0.053302615880966187
23,5099,,0.07139337062835693
23,5149,,0.08822446316480637
23,5159,0.07681120932102203,
24,5199,,0.04248155653476715
24,5249,,0.08239759504795074
24,5299,,0.058135274797677994
24,5349,,0.052686918526887894
24,5374,0.07007595151662827,
25,5399,,0.06641137599945068
25,5449,,0.08453776687383652
25,5499,,0.0627879798412323
25,5549,,0.06999598443508148
25,5589,0.07049974799156189,
26,5599,,0.07464741170406342
26,5649,,0.0665639117360115
26,5699,,0.06645664572715759
26,5749,,0.061183810234069824
26,5799,,0.06522586941719055
26,5804,0.06884188205003738,
27,5849,,0.06687265634536743
27,5899,,0.05998070165514946
27,5949,,0.06588205695152283
27,5999,,0.061430566012859344
27,6019,0.06689252704381943,
28,6049,,0.061366915702819824
28,6099,,0.05074377730488777
28,6149,,0.05844029784202576
28,6199,,0.05496281757950783
28,6234,0.06551973521709442,
29,6249,,0.0791299045085907
29,6299,,0.05560610070824623
29,6349,,0.03692437335848808
29,6399,,0.08298341184854507
29,6449,,0.047515589743852615
29,6449,0.06006530672311783,
30,6499,,0.05336607247591019
30,6549,,0.045821089297533035
30,6599,,0.08358559012413025
30,6649,,0.05797921493649483
30,6664,0.059558190405368805,
31,6699,,0.056960951536893845
31,6749,,0.07093092054128647
31,6799,,0.0721227377653122
31,6849,,0.050105318427085876
31,6879,0.058362606912851334,
32,6899,,0.058365385979413986
32,6949,,0.070370152592659
32,6999,,0.04234933480620384
32,7049,,0.04771256446838379
32,7094,0.057912278920412064,
33,7099,,0.03757806867361069
33,7149,,0.06772078573703766
33,7199,,0.052546095103025436
33,7249,,0.04655405506491661
33,7299,,0.0602935329079628
33,7309,0.055820077657699585,
34,7349,,0.0635911375284195
34,7399,,0.03264645114541054
34,7449,,0.06312975287437439
34,7499,,0.04660496488213539
34,7524,0.052242208272218704,
35,7549,,0.03718195855617523
35,7599,,0.08726473152637482
35,7649,,0.04667700454592705
35,7699,,0.08700257539749146
35,7739,0.054447293281555176,
36,7749,,0.04284138232469559
36,7799,,0.058135129511356354
36,7849,,0.07708538323640823
36,7899,,0.056328482925891876
36,7949,,0.0566721186041832
36,7954,0.052679866552352905,
37,7999,,0.047075316309928894
37,8049,,0.05030501261353493
37,8099,,0.051279038190841675
37,8149,,0.04560288041830063
37,8169,0.05097502842545509,
38,8199,,0.05662062391638756
38,8249,,0.04759897664189339
38,8299,,0.06831188499927521
38,8349,,0.06396272778511047
38,8384,0.049884576350450516,
39,8399,,0.037489522248506546
39,8449,,0.048601943999528885
39,8499,,0.06740085035562515
39,8549,,0.04564197361469269
39,8599,,0.07167535275220871
39,8599,0.046523693948984146,
40,8649,,0.04335920512676239
40,8699,,0.04110350459814072
40,8749,,0.04469246044754982
40,8799,,0.048553526401519775
40,8814,0.045479029417037964,
41,8849,,0.04586109519004822
41,8899,,0.045656584203243256
41,8949,,0.04568122327327728
41,8999,,0.03374398499727249
41,9029,0.04500788450241089,
42,9049,,0.04621939733624458
42,9099,,0.05048012360930443
42,9149,,0.033065252006053925
42,9199,,0.04002159833908081
42,9244,0.04369693249464035,
43,9249,,0.025466229766607285
43,9299,,0.04729777202010155
43,9349,,0.027099328115582466
43,9399,,0.03936564177274704
43,9449,,0.05185151472687721
43,9459,0.04214095696806908,
44,9499,,0.04223589599132538
44,9549,,0.041344791650772095
44,9599,,0.030546383932232857
44,9649,,0.04301697388291359
44,9674,0.04199922829866409,
